Title,URL
Dead Weight at Arlene's Grocery - 1/10/25,https://www.youtube.com/playlist?list=PLPcvn9QyxzxpOSFMK45uUormkG8JAJQTg
Dead Weight at Arlene's Grocery - 1/30/26,https://www.youtube.com/playlist?list=PLPcvn9Qyxzxp60iA6D_gEaoNbu7yYA9la
Dead Weight at The Delancey - 3/26/26,https://www.youtube.com/playlist?list=PLPcvn9QyxzxoGA76YJZSD_YL4L27saCct
Dead Weight at Brooklyn Music Kitchen - 4/4/26,https://www.youtube.com/playlist?list=PLPcvn9QyxzxryJ2MuSqkKeCDBpkdfDlar
Dead Weight - Live from the Danktuary,https://www.youtube.com/playlist?list=PLPcvn9Qyxzxo7ZlEQIiYdCTULSAaKjvh9
